Day,Value of opened positions 
2025-01-01,48887.84
2025-01-02,49350.15
2025-01-03,49412.2
2025-01-06,50103.61
2025-01-07,49916.62
2025-01-08,50039.78
2025-01-09,50073.85
2025-01-10,49756.25
2025-01-13,49501.2
2025-01-14,49443.98
2025-01-15,50195.88
2025-01-16,50638.53
2025-01-17,50928.18
2025-01-20,51052.06
2025-01-21,51250.11
2025-01-22,51881.58
2025-01-23,51836.85
2025-01-24,52122.42
2025-01-27,50709.15
2025-01-28,50967.21
2025-01-29,51258.31
2025-01-30,51484.4
2025-01-31,51942.56
2025-02-03,51419.78
2025-02-04,51574.66
2025-02-05,51421.79
2025-02-06,51753.97
2025-02-07,51782.13
2025-02-10,52203.89
2025-02-11,52444.09
2025-02-12,52188.05
2025-02-13,52525.4
2025-02-14,52554.02
2025-02-17,53654.26
2025-02-18,53876.29
2025-02-19,53908.06
2025-02-20,53031.63
2025-02-21,52991.5
2025-02-24,48628.63
2025-02-25,44951.52
2025-02-26,43801.72
2025-02-27,37705.05
2025-02-28,36735.91
2025-03-03,37934.42
2025-03-04,36960.5
2025-03-05,38048.39
2025-03-06,37792.45
2025-03-07,36812.75
2025-03-10,36750.66
2025-03-11,36379.17
2025-03-12,37144.27
2025-03-13,37330.79
2025-03-14,38259.71
2025-03-17,38428.74
2025-03-18,38748.09
2025-03-19,38528.87
2025-03-20,50867.97
2025-03-21,50106.39
2025-03-24,50787.44
2025-03-25,50758.06
2025-03-26,50998.35
2025-03-27,50738.87
2025-03-28,49397.06
2025-03-31,49306.91
2025-04-01,48723.76
2025-04-02,48096.9
2025-04-03,47108.22
2025-04-04,44381.71
2025-04-07,43219.91
2025-04-08,44568.5
2025-04-09,44049.15
2025-04-10,45179.62
2025-04-11,45033.16
2025-04-14,46736.05
2025-04-15,48042.83
2025-04-16,47446.67
2025-04-17,49558.44
2025-04-18,49498.84
2025-04-21,49562.37
2025-04-22,49098.78
2025-04-23,49649.46
2025-04-24,50239.87
2025-04-25,50336.08
2025-04-28,50161.92
2025-04-29,52109.89
2025-04-30,52715.73
2025-05-01,52730.3
2025-05-02,54703.63
2025-05-05,55344.2
2025-05-06,55578.73
2025-05-07,55184.13
2025-05-08,56994.94
2025-05-09,56887.85
2025-05-12,56591.85
2025-05-13,57290.16
2025-05-14,57172.25
2025-05-15,58161.04
2025-05-16,58730.57
2025-05-19,59221.8
2025-05-20,59494.57
2025-05-21,59666
2025-05-22,59128.49
2025-05-23,58633.24
2025-05-26,59953.9
2025-05-27,61107.06
2025-05-28,61073.12
2025-05-29,60699.92
2025-05-30,60549.03
2025-06-02,61680.02
2025-06-03,62527.26
2025-06-04,64003.73
2025-06-05,65212.15
2025-06-06,63967.59
2025-06-09,64037.97
2025-06-10,62694.49
2025-06-11,63608.76
2025-06-12,64963.58
2025-06-13,67107.35
